p_set,c_set,P_FWE_cl,q_FDR_cl,K_E,P_uncorr_cl,P_FWE_pl,q_FDR_pl,T,z,P_uncorr_pl,X,Y,Z
0.992,18,0,0,4780,0,0,0,13.16,Inf,0,-2,6,52
NaN,NaN,0.006,0.001,1421,0,0,0,10.53,Inf,0,-48,2,34
NaN,NaN,0,0,4198,0,0,0,10.24,Inf,0,-22,-64,58
NaN,NaN,0,0,3547,0,0,0,8.87,Inf,0,22,-64,50
NaN,NaN,0.021,0.003,1108,0.001,0,0,7.79,7.45,0,50,8,30
NaN,NaN,0.62,0.097,359,0.032,0,0,7.25,6.97,0,-30,20,6
NaN,NaN,0.849,0.142,259,0.063,0,0,6.12,5.95,0,32,18,8
NaN,NaN,0.809,0.142,278,0.055,0.49,0.045,3.93,3.88,0,-10,-18,8
NaN,NaN,1,0.549,83,0.275,0.959,0.177,3.4,3.37,0,-16,6,4
NaN,NaN,1,0.792,42,0.44,0.987,0.224,3.29,3.26,0.001,-48,-56,-16
NaN,NaN,1,0.866,23,0.577,1,0.386,3.03,3,0.001,48,-78,6
NaN,NaN,1,0.892,11,0.715,1,0.735,2.63,2.61,0.004,-40,-72,6
NaN,NaN,1,0.892,7,0.78,1,0.735,2.61,2.6,0.005,12,-18,12
NaN,NaN,1,0.814,33,0.497,1,0.747,2.59,2.57,0.005,12,-90,18
NaN,NaN,1,0.892,7,0.78,1,0.778,2.55,2.53,0.006,16,8,4
NaN,NaN,1,0.892,4,0.843,1,0.778,2.53,2.52,0.006,52,-66,-6
NaN,NaN,1,0.892,4,0.843,1,0.825,2.48,2.47,0.007,2,4,28
NaN,NaN,1,0.898,2,0.898,1,0.941,2.38,2.37,0.009,46,36,34
